"Student","ID","SIS User ID","SIS Login ID","Section","Assignment 06","Current Score","Final Score","Unposted Final Score","Current Grade","Final Grade","Assignment 12","Assignment 13","Assignment 14","Assignment 15","Assignment 16","Assignment 17","Assignment 18","Assignment 19","Assignment 20","Assignment 21","Assignment 22","Assignment 23","Assignment 24","Assignment 25","Assignment 26","Assignment 27","Assignment 28","Assignment 29","Assignment 30","Assignment 31","Assignment 32","Assignment 33","Assignment 34","Assignment 35","Assignment 36","Assignment 37","Assignment 38","Assignment 39"
"Synthetic Student 173","SYN-ID-000173","SYN000173","synthetic173","Section A","Submitted","",100,100,"A","A",,,,100,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 174","SYN-ID-000174","SYN000174","synthetic174","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 175","SYN-ID-000175","SYN000175","synthetic175","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 176","SYN-ID-000176","SYN000176","synthetic176","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 177","SYN-ID-000177","SYN000177","synthetic177","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 178","SYN-ID-000178","SYN000178","synthetic178","Section A","Complete","",11,11,"F","F",,,,,,,,,,,,10,,,,,,,,,,,12,,,,,
"Synthetic Student 179","SYN-ID-000179","SYN000179","synthetic179","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 180","SYN-ID-000180","SYN000180","synthetic180","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 181","SYN-ID-000181","SYN000181","synthetic181","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 182","SYN-ID-000182","SYN000182","synthetic182","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 183","SYN-ID-000183","SYN000183","synthetic183","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 184","SYN-ID-000184","SYN000184","synthetic184","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 185","SYN-ID-000185","SYN000185","synthetic185","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 186","SYN-ID-000186","SYN000186","synthetic186","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 187","SYN-ID-000187","SYN000187","synthetic187","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 188","SYN-ID-000188","SYN000188","synthetic188","Section A","Exempt","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 189","SYN-ID-000189","SYN000189","synthetic189","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 190","SYN-ID-000190","SYN000190","synthetic190","Section A","Needs Review","",32.5,32.5,"F","F",,,,100,,,,,,,10,,10,,,,,,,,,,,,,,10,
"Synthetic Student 191","SYN-ID-000191","SYN000191","synthetic191","Section A","Needs Review","",40,40,"F","F",,100,,,,,,,,,,,,,,,,,,,,10,,,,,,10
"Synthetic Student 192","SYN-ID-000192","SYN000192","synthetic192","Section A","Submitted","",10.67,10.67,"F","F",,,,,,,10,,,,,,,,,,,,,,,,12,,,10,,
"Synthetic Student 193","SYN-ID-000193","SYN000193","synthetic193","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 194","SYN-ID-000194","SYN000194","synthetic194","Section A","Complete","",100,100,"A","A",100,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 195","SYN-ID-000195","SYN000195","synthetic195","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 196","SYN-ID-000196","SYN000196","synthetic196","Section A","","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 197","SYN-ID-000197","SYN000197","synthetic197","Section A","Complete","",10,10,"F","F",,,,,,,10,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 198","SYN-ID-000198","SYN000198","synthetic198","Section A","Complete","",23.14,23.14,"F","F",,,,100,,,,,10,,,,,,,,,,,,12,10,,,10,,10,10
"Synthetic Student 199","SYN-ID-000199","SYN000199","synthetic199","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 200","SYN-ID-000200","SYN000200","synthetic200","Section A","Submitted","",10,10,"F","F",,,,,,,,,,,,,,,,,,,,,,,,10,,,,
"Synthetic Student 201","SYN-ID-000201","SYN000201","synthetic201","Section A","Needs Review","",28.4,28.4,"F","F",,,,100,,,,10,,,,,,,,,10,10,,,,,12,,,,,
"Synthetic Student 202","SYN-ID-000202","SYN000202","synthetic202","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 203","SYN-ID-000203","SYN000203","synthetic203","Section A","Complete","",32.5,32.5,"F","F",,100,,,,,,,,10,,,,,,,,10,,,,,,10,,,,
"Synthetic Student 204","SYN-ID-000204","SYN000204","synthetic204","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 205","SYN-ID-000205","SYN000205","synthetic205","Section A","Exempt","",48.57,48.57,"F","F",,100,100,100,,,,,,,10,,,,,10,,,,,,10,,,10,,,
"Synthetic Student 206","SYN-ID-000206","SYN000206","synthetic206","Section A","Complete","",10.25,10.25,"F","F",,,,,,,,10,10,10,,,,,,,,10,10,,,10,12,,,,10,
"Synthetic Student 207","SYN-ID-000207","SYN000207","synthetic207","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 208","SYN-ID-000208","SYN000208","synthetic208","Section A","Complete","",10,10,"F","F",,,,,,,,,,,,,,10,,,,,,,,,,,,,,
"Synthetic Student 209","SYN-ID-000209","SYN000209","synthetic209","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 210","SYN-ID-000210","SYN000210","synthetic210","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 211","SYN-ID-000211","SYN000211","synthetic211","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 212","SYN-ID-000212","SYN000212","synthetic212","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 213","SYN-ID-000213","SYN000213","synthetic213","Section A","Exempt","",10,10,"F","F",,,,,,,,,,,,,10,,,,,,,,,,,,,,,
"Synthetic Student 214","SYN-ID-000214","SYN000214","synthetic214","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 215","SYN-ID-000215","SYN000215","synthetic215","Section A","Needs Review","",20,20,"F","F",,,,,20,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 216","SYN-ID-000216","SYN000216","synthetic216","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 217","SYN-ID-000217","SYN000217","synthetic217","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 218","SYN-ID-000218","SYN000218","synthetic218","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 219","SYN-ID-000219","SYN000219","synthetic219","Section A","Complete","",10,10,"F","F",,,,,,,,,10,,,,,,,,,,,,,,,,,,,
"Synthetic Student 220","SYN-ID-000220","SYN000220","synthetic220","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 221","SYN-ID-000221","SYN000221","synthetic221","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 222","SYN-ID-000222","SYN000222","synthetic222","Section A","Complete","",10,10,"F","F",,,,,,,,,,,,,,,,,,,,,,,,,,10,,
"Synthetic Student 223","SYN-ID-000223","SYN000223","synthetic223","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 224","SYN-ID-000224","SYN000224","synthetic224","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 225","SYN-ID-000225","SYN000225","synthetic225","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 226","SYN-ID-000226","SYN000226","synthetic226","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 227","SYN-ID-000227","SYN000227","synthetic227","Section A","Complete","",10,10,"F","F",,,,,,,,,,,,,,,,,,,,,,,,10,,,,
"Synthetic Student 228","SYN-ID-000228","SYN000228","synthetic228","Section A","Submitted","",10,10,"F","F",,,,,,,,,,,,,,,,,,,,,,,,,,,,10
"Synthetic Student 229","SYN-ID-000229","SYN000229","synthetic229","Section A","Complete","",10,10,"F","F",,,,,,,,,,,,,,,,,,,,,,,,,10,,,
"Synthetic Student 230","SYN-ID-000230","SYN000230","synthetic230","Section A","Submitted","",55,55,"F","F",100,100,,,,,,,,10,,,,,,,,,,,,,,,10,,,
"Synthetic Student 231","SYN-ID-000231","SYN000231","synthetic231","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 232","SYN-ID-000232","SYN000232","synthetic232","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 233","SYN-ID-000233","SYN000233","synthetic233","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 234","SYN-ID-000234","SYN000234","synthetic234","Section A","Complete","",2,2,"F","F",,,,,,2,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 235","SYN-ID-000235","SYN000235","synthetic235","Section A","Submitted","",40.67,40.67,"F","F",,,100,,,,,,,,,,,,,,,,,,,,12,,,,10,
"Synthetic Student 236","SYN-ID-000236","SYN000236","synthetic236","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 237","SYN-ID-000237","SYN000237","synthetic237","Section A","Exempt","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 238","SYN-ID-000238","SYN000238","synthetic238","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 239","SYN-ID-000239","SYN000239","synthetic239","Section A","Complete","",10,10,"F","F",,,,,,,,,,,,,,,10,,,,,,,,,10,,,,
"Synthetic Student 240","SYN-ID-000240","SYN000240","synthetic240","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 241","SYN-ID-000241","SYN000241","synthetic241","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 242","SYN-ID-000242","SYN000242","synthetic242","Section A","Complete","",40,40,"F","F",,100,,,,,,10,,,,,,10,,,,,,,,,,,,,,
"Synthetic Student 243","SYN-ID-000243","SYN000243","synthetic243","Section A","Submitted","",10,10,"F","F",,,,,,,,10,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 244","SYN-ID-000244","SYN000244","synthetic244","Section A","Complete","",28.4,28.4,"F","F",,100,,,,,,,,,,10,,10,,,,,,,,,12,10,,,,
"Synthetic Student 245","SYN-ID-000245","SYN000245","synthetic245","Section A","Submitted","",10,10,"F","F",,,,,,,,,,,,,,,,,,,10,,,,,,10,,,
"Synthetic Student 246","SYN-ID-000246","SYN000246","synthetic246","Section A","Submitted","",10,10,"F","F",,,,,,,,10,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 247","SYN-ID-000247","SYN000247","synthetic247","Section A","Complete","",15,15,"F","F",,,,,20,,,,,,,,,,,,,,10,,,,,,,,,
"Synthetic Student 248","SYN-ID-000248","SYN000248","synthetic248","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 249","SYN-ID-000249","SYN000249","synthetic249","Section A","Submitted","",10,10,"F","F",,,,,,,,,,,,,,,10,,,,,,,,,,,,,
"Synthetic Student 250","SYN-ID-000250","SYN000250","synthetic250","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 251","SYN-ID-000251","SYN000251","synthetic251","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 252","SYN-ID-000252","SYN000252","synthetic252","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 253","SYN-ID-000253","SYN000253","synthetic253","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 254","SYN-ID-000254","SYN000254","synthetic254","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 255","SYN-ID-000255","SYN000255","synthetic255","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 256","SYN-ID-000256","SYN000256","synthetic256","Section A","Complete","",100,100,"A","A",,,100,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 257","SYN-ID-000257","SYN000257","synthetic257","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 258","SYN-ID-000258","SYN000258","synthetic258","Section A","Submitted","",10,10,"F","F",,,,,,,,,,,,,,,10,,,,,,,,,,,,,
"Synthetic Student 259","SYN-ID-000259","SYN000259","synthetic259","Section A","Needs Review","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 260","SYN-ID-000260","SYN000260","synthetic260","Section A","Complete","",46.4,46.4,"F","F",,100,100,,,,,,,,,,,10,,10,,,,,,,12,,,,,
"Synthetic Student 261","SYN-ID-000261","SYN000261","synthetic261","Section A","Submitted","",10,10,"F","F",,,,,,,,,,10,,,,,,,,,,,,,,,,,,
"Synthetic Student 262","SYN-ID-000262","SYN000262","synthetic262","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 263","SYN-ID-000263","SYN000263","synthetic263","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 264","SYN-ID-000264","SYN000264","synthetic264","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 265","SYN-ID-000265","SYN000265","synthetic265","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 266","SYN-ID-000266","SYN000266","synthetic266","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 267","SYN-ID-000267","SYN000267","synthetic267","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 268","SYN-ID-000268","SYN000268","synthetic268","Section A","Complete","",100,100,"A","A",,,,100,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 269","SYN-ID-000269","SYN000269","synthetic269","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 270","SYN-ID-000270","SYN000270","synthetic270","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 271","SYN-ID-000271","SYN000271","synthetic271","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 272","SYN-ID-000272","SYN000272","synthetic272","Section A","Complete","",24.29,24.29,"F","F",,,100,,20,,,,,,10,,,10,,,,,,,,10,,10,,,,10
"Synthetic Student 273","SYN-ID-000273","SYN000273","synthetic273","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 274","SYN-ID-000274","SYN000274","synthetic274","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 275","SYN-ID-000275","SYN000275","synthetic275","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 276","SYN-ID-000276","SYN000276","synthetic276","Section A","Complete","",22.75,22.75,"F","F",,,,100,20,,,,,10,,,,,10,,,,,,12,10,,,10,10,,
"Synthetic Student 277","SYN-ID-000277","SYN000277","synthetic277","Section A","Complete","",10,10,"F","F",,,,,,,,,,,,,10,,,,,,,,,,,,,10,,
"Synthetic Student 278","SYN-ID-000278","SYN000278","synthetic278","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 279","SYN-ID-000279","SYN000279","synthetic279","Section A","Exempt","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 280","SYN-ID-000280","SYN000280","synthetic280","Section A","Complete","",10,10,"F","F",,,,,,,,,,,,,,,,,10,,,,,,,,,,,
"Synthetic Student 281","SYN-ID-000281","SYN000281","synthetic281","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 282","SYN-ID-000282","SYN000282","synthetic282","Section A","Submitted","",10,10,"F","F",,,,,,,,,,,,,,,,,,,,,,,,,,,10,
"Synthetic Student 283","SYN-ID-000283","SYN000283","synthetic283","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 284","SYN-ID-000284","SYN000284","synthetic284","Section A","Complete","",10,10,"F","F",,,,,,,,,,,,,,,,,,,,,,,,,10,,,
"Synthetic Student 285","SYN-ID-000285","SYN000285","synthetic285","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 286","SYN-ID-000286","SYN000286","synthetic286","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 287","SYN-ID-000287","SYN000287","synthetic287","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
